SECID	BOARDID	SHORTNAME	PREVPRICE	LOTSIZE	FACEVALUE	STATUS	BOARDNAME	DECIMALS	SECNAME	REMARKS	MARKETCODE	INSTRID	SECTORID	MINSTEP	PREVWAPRICE	FACEUNIT	PREVDATE	ISSUESIZE	ISIN	LATNAME	REGNUMBER	PREVLEGALCLOSEPRICE	CURRENCYID	SECTYPE	LISTLEVEL	SETTLEDATE
VKCO	TQBR	"МКПАО ""ВК"""	618.0	1	0.000450595	A	Т+: Акции и ДР - безадрес.	1	Международная компания ПАО ВК	None	FNDT	EQIN	None	0.2	616.4	SUR	2024-04-01	227874940	RU000A106YF0	VK International Public JS Com	1-01-16753-A	613.8	SUR	1	1	2024-04-03
VLHZ	TQBR	ВХЗ-ао	296.0	10	20.0	A	Т+: Акции и ДР - безадрес.	1	Владимирский химич.з-д(ПАО) ао	None	FNDT	EQIN	None	0.2	299.4	SUR	2024-04-01	5005605	RU0007984761	VHZ	1-02-04847-A	296.0	SUR	1	3	2024-04-03
VRSB	TQBR	ТНСэнВорон	673.0	10	0.4	A	Т+: Акции и ДР - безадрес.	1	ТНС энерго Воронеж ПАО ао	None	FNDT	EQIN	None	0.5	668.0	SUR	2024-04-01	56151024	RU000A0DPG67	TNS energo Voroneg ao	1-01-55029-E	673.0	SUR	1	3	2024-04-03
VRSBP	TQBR	ТНСэнВор-п	219.4	10	0.4	A	Т+: Акции и ДР - безадрес.	1	ТНС энерго Воронеж ПАО ап	None	FNDT	EQIN	None	0.2	221.0	SUR	2024-04-01	18716678	RU000A0DPG75	TNS energo Voroneg ap	2-01-55029-E	219.4	SUR	2	3	2024-04-03
VSMO	TQBR	ВСМПО-АВСМ	37540.0	1	1.0	A	Т+: Акции и ДР - безадрес.	0	Корп. ВСМПО-АВИСМА (ПАО) ао	None	FNDT	EQIN	None	20.0	37020.0	SUR	2024-04-01	11529538	RU0009100291	Corp. VSMPO-AVISMA ao	1-01-30202-D	37200.0	SUR	1	2	2024-04-03
VSYD	TQBR	ВыбСудЗ ао	19200.0	1	0.5	A	Т+: Акции и ДР - безадрес.	0	Выборгский Суд.Завод ПАО ао	None	FNDT	EQIN	None	50.0	19700.0	SUR	2024-04-01	1891250	RU0006334372	Viborgskii sudostr. Zavod ao	1-01-02203-D	19200.0	SUR	1	3	2024-04-03
VSYDP	TQBR	ВыбСудЗ ап	13100.0	1	0.5	A	Т+: Акции и ДР - безадрес.	0	Выборгский Суд.Завод ПАО ап	None	FNDT	EQIN	None	20.0	13260.0	SUR	2024-04-01	51839	RU0006334380	Viborgskii sudostr. Zavod ap	2-01-02203-D	13100.0	SUR	2	3	2024-04-03
VTBR	TQBR	ВТБ ао	0.023295	10000	0.01	A	Т+: Акции и ДР - безадрес.	6	ао ПАО Банк ВТБ	None	FNDT	EQIN	None	5e-06	0.023135	SUR	2024-04-01	26849669465190	RU000A0JP5V6	VTB	10401000B	0.023135	SUR	1	1	2024-04-03
WTCM	TQBR	ЦМТ ао	17.38	100	1.0	A	Т+: Акции и ДР - безадрес.	2	"""Центр междун. торговли""ПАО ао"	None	FNDT	EQIN	None	0.02	17.32	SUR	2024-04-01	1083000000	RU0008137070	CMT	1-01-01837-A	17.38	SUR	1	3	2024-04-03
WTCMP	TQBR	ЦМТ ап	12.04	100	1.0	A	Т+: Акции и ДР - безадрес.	2	"""Центр междун. торговли""ПАО ап"	None	FNDT	EQIN	None	0.02	11.98	SUR	2024-04-01	162000000	RU0008137088	CMT (pref)	2-01-01837-A	12.04	SUR	2	3	2024-04-03
WUSH	TQBR	iВУШХолднг	318.0	1	0.01	A	Т+: Акции и ДР - безадрес.	2	ВУШ Холдинг ао	None	FNDT	EQIN	None	0.01	319.89	SUR	2024-04-01	111382432	RU000A105EX7	WHOOSH Holding	1-01-03292-G	318.69	SUR	1	2	2024-04-03
YAKG	TQBR	ЯТЭК ао	93.2	10	1.0	A	Т+: Акции и ДР - безадрес.	2	Якутская топл.-энерг. комп. ао	None	FNDT	EQIN	None	0.05	92.5	SUR	2024-04-01	826919375	RU0007796819	YaTEK ao	1-01-20510-F	93.2	SUR	1	3	2024-04-03
YKEN	TQBR	Якутскэнрг	0.768	10000	2.22	A	Т+: Акции и ДР - безадрес.	3	"АК ""Якутскэнерго"" (ПАО) ао"	None	FNDT	EQIN	None	0.001	0.777	SUR	2024-04-01	10187741424	RU0009257075	YakutskEnergo	1-01-00304-A	0.768	SUR	1	3	2024-04-03
YKENP	TQBR	Якутскэн-п	0.594	10000	2.22	A	Т+: Акции и ДР - безадрес.	4	"АК ""Якутскэнерго"" (ПАО) ап"	None	FNDT	EQIN	None	0.001	0.599	SUR	2024-04-01	1332635125	RU0007796827	YakutskEnergo ap	2-01-00304-A	0.592	SUR	2	3	2024-04-03
YNDX	TQBR	Yandex clA	3975.0	1	0.01	A	Т+: Акции и ДР - безадрес.	1	PLLC Yandex N.V. class A shs	None	FNDT	EQIN	None	0.2	3995.8	EUR	2024-04-01	326342270	NL0009805522	PLLC Yandex N.V.	None	3978.0	SUR	1	1	2024-04-03
YRSB	TQBR	ТНСэнЯр	1272.0	10	1.0	A	Т+: Акции и ДР - безадрес.	0	ТНС энерго Ярославль ПАО ао	None	FNDT	EQIN	None	2.0	1262.0	SUR	2024-04-01	17143584	RU000A0D8760	TNS energo Yaroslavl' ao	1-01-50099-A	1268.0	SUR	1	3	2024-04-03
YRSBP	TQBR	ТНСэнЯр-п	297.0	10	1.0	A	Т+: Акции и ДР - безадрес.	1	ТНС энерго Ярославль ПАО ап	None	FNDT	EQIN	None	0.5	295.5	SUR	2024-04-01	4507320	RU000A0D88B3	TNS energo Yaroslavl' (pref)	2-01-50099-A	297.0	SUR	2	3	2024-04-03
ZILL	TQBR	ЗИЛ ао	3155.0	1	1000.0	A	Т+: Акции и ДР - безадрес.	0	Завод им. И.А.Лихачева ПАО ао	None	FNDT	EQIN	None	5.0	3195.0	SUR	2024-04-01	2659962	RU0009086193	ZIL ao	1-02-00036-A	3155.0	SUR	1	3	2024-04-03
ZVEZ	TQBR	ЗВЕЗДА ао	13.06	1000	0.1	A	Т+: Акции и ДР - безадрес.	2	ЗВЕЗДА ПАО ао	None	FNDT	EQIN	None	0.01	12.94	SUR	2024-04-01	562020480	RU0009091300	Zvezda ao	1-01-00169-D	13.06	SUR	1	3	2024-04-03
