SECID	BOARDID	SHORTNAME	PREVPRICE	LOTSIZE	FACEVALUE	STATUS	BOARDNAME	DECIMALS	SECNAME	REMARKS	MARKETCODE	INSTRID	SECTORID	MINSTEP	PREVWAPRICE	FACEUNIT	PREVDATE	ISSUESIZE	ISIN	LATNAME	REGNUMBER	PREVLEGALCLOSEPRICE	CURRENCYID	SECTYPE	LISTLEVEL	SETTLEDATE
RTKM	TQBR	Ростел -ао	103.05	10	0.0025	A	Т+: Акции и ДР - безадрес.	2	Ростелеком (ПАО) ао.	None	FNDT	EQIN	None	0.01	103.49	SUR	2024-04-01	3282997929	RU0008943394	Rostelecom	1-01-00124-A	102.29	SUR	1	1	2024-04-03
RTKMP	TQBR	Ростел -ап	86.1	10	0.0025	A	Т+: Акции и ДР - безадрес.	2	Ростелеком (ПАО) ап.	None	FNDT	EQIN	None	0.05	86.7	SUR	2024-04-01	209565147	RU0009046700	Rostelecom- (pref)	2-01-00124-A	84.85	SUR	2	1	2024-04-03
RTSB	TQBR	ТНСэнРст	5.845	1000	0.02	A	Т+: Акции и ДР - безадрес.	3	ТНС энерго Ростов. ПАО ао	None	FNDT	EQIN	None	0.005	5.775	SUR	2024-04-01	8128764676	RU000A0D8PB4	TNS energo Rostov-na-Dony ao	1-01-50095-A	5.845	SUR	1	3	2024-04-03
RTSBP	TQBR	ТНСэнРст-п	2.858	1000	0.02	A	Т+: Акции и ДР - безадрес.	3	ТНС энерго Ростов. ПАО ап	None	FNDT	EQIN	None	0.002	2.708	SUR	2024-04-01	925737256	RU000A0D8PC2	TNS energo Rostov-na-Dony(prf)	2-01-50095-A	2.858	SUR	2	3	2024-04-03
RUAL	TQBR	РУСАЛ ао	34.345	10	0.656517	A	Т+: Акции и ДР - безадрес.	3	РУСАЛ ОК МКПАО ао	None	FNDT	EQIN	None	0.005	34.32	SUR	2024-04-01	15193014862	RU000A1025V3	RUSAL ao	1-01-16677-A	34.215	SUR	1	1	2024-04-03
RUSI	TQBR	ИКРУСС-ИНВ	127.4	10	1.0	A	Т+: Акции и ДР - безадрес.	1	РУСС-ИНВЕСТ ИК ПАО ао	None	FNDT	EQIN	None	0.1	126.6	SUR	2024-04-01	109000000	RU000A0JQ9W5	RUSS-INVEST IC ao	1-01-00409-A	127.4	SUR	1	3	2024-04-03
RZSB	TQBR	РязЭнСб	39.68	100	0.05	A	Т+: Акции и ДР - безадрес.	2	"""Рязанская энергосб.комп"" ПАО"	None	FNDT	EQIN	None	0.02	39.84	SUR	2024-04-01	206940220	RU000A0D9AF5	"JSC ""Ryazanenergosbyt"""	1-01-50092-A	39.68	SUR	1	3	2024-04-03
SAGO	TQBR	СамарЭн-ао	3.715	1000	0.25	A	Т+: Акции и ДР - безадрес.	3	Самараэнерго (ПАО) - ао	None	FNDT	EQIN	None	0.005	3.79	SUR	2024-04-01	3538928532	RU0009098255	SamaraEnergo ao	1-02-00127-A	3.715	SUR	1	3	2024-04-03
SAGOP	TQBR	СамарЭн-ап	3.605	1000	0.01	A	Т+: Акции и ДР - безадрес.	3	Самараэнерго (ПАО) - ап	None	FNDT	EQIN	None	0.005	3.685	SUR	2024-04-01	521993080	RU0009084495	SamaraEnergo(pref)	2-02-00127-A	3.605	SUR	2	3	2024-04-03
SARE	TQBR	СаратЭн-ао	0.649	10000	0.02	A	Т+: Акции и ДР - безадрес.	3	Саратовэнерго(ПАО)-ао	None	FNDT	EQIN	None	0.001	0.662	SUR	2024-04-01	4865127996	RU0009100754	SaratovEnergo ao	1-02-00132-A	0.649	SUR	1	3	2024-04-03
SAREP	TQBR	СаратЭн-ап	0.3235	10000	0.02113	A	Т+: Акции и ДР - безадрес.	4	Саратовэнерго(ПАО)-ап	None	FNDT	EQIN	None	0.0005	0.3265	SUR	2024-04-01	1493316000	RU0009100762	SaratovEnergo (pref)	2-02-00132-A	0.3235	SUR	2	3	2024-04-03
SBER	TQBR	Сбербанк	300.43	10	3.0	A	Т+: Акции и ДР - безадрес.	2	Сбербанк России ПАО ао	None	FNDT	EQIN	None	0.01	300.42	SUR	2024-04-01	21586948000	RU0009029540	Sberbank	10301481B	299.76	SUR	1	1	2024-04-03
SBERP	TQBR	Сбербанк-п	300.83	10	3.0	A	Т+: Акции и ДР - безадрес.	2	Сбербанк России ПАО ап	None	FNDT	EQIN	None	0.01	300.92	SUR	2024-04-01	1000000000	RU0009029557	Sberbank (pref)	20301481B	300.2	SUR	2	1	2024-04-03
SELG	TQBR	Селигдар	76.8	10	1.0	A	Т+: Акции и ДР - безадрес.	2	"ПАО ""Селигдар""  ао"	None	FNDT	EQIN	None	0.01	75.79	SUR	2024-04-01	1030000000	RU000A0JPR50	Seligdar	1-01-32694-F	76.69	SUR	1	1	2024-04-03
SFIN	TQBR	ЭсЭфАй ао	1819.6	1	0.67	A	Т+: Акции и ДР - безадрес.	1	ЭсЭфАй ПАО ао	None	FNDT	EQIN	None	0.2	1840.2	SUR	2024-04-01	111637791	RU000A0JVW89	SFI ao	1-02-56453-P	1819.6	SUR	1	1	2024-04-03
SGZH	TQBR	Сегежа	3.805	100	0.1	A	Т+: Акции и ДР - безадрес.	3	Сегежа ао	None	FNDT	EQIN	None	0.001	3.785	SUR	2024-04-01	15690000000	RU000A102XG9	Segezha	1-01-87154-H	3.789	SUR	1	1	2024-04-03
SIBN	TQBR	Газпрнефть	751.3	1	0.0016	A	Т+: Акции и ДР - безадрес.	2	Газпром нефть ПАО ао	None	FNDT	EQIN	None	0.05	747.85	SUR	2024-04-01	4741299639	RU0009062467	Gazprom neft	1-01-00146-A	749.0	SUR	1	3	2024-04-03
SLEN	TQBR	Сахэнер ао	4.975	100	10.0	A	Т+: Акции и ДР - безадрес.	3	"ПАО ""Сахалинэнерго"" ао"	None	FNDT	EQIN	None	0.005	5.035	SUR	2024-04-01	1237175444	RU0009280465	Sakhalinenergo ao	1-03-00272-A	4.975	SUR	1	3	2024-04-03
SMLT	TQBR	Самолет ао	3624.5	1	25.0	A	Т+: Акции и ДР - безадрес.	1	ГК Самолет ао	None	FNDT	EQIN	None	0.5	3619.0	SUR	2024-04-01	61579358	RU000A0ZZG02	Samolet	1-01-16493-A	3609.0	SUR	1	1	2024-04-03
SNGS	TQBR	Сургнфгз	31.225	100	1.0	A	Т+: Акции и ДР - безадрес.	3	Сургутнефтегаз ПАО акции об.	None	FNDT	EQIN	None	0.005	30.805	SUR	2024-04-01	35725994705	RU0008926258	Surgut	1-01-00155-A	31.43	SUR	1	2	2024-04-03
SNGSP	TQBR	Сургнфгз-п	66.875	100	1.0	A	Т+: Акции и ДР - безадрес.	3	Сургутнефтегаз ПАО ап	None	FNDT	EQIN	None	0.005	66.795	SUR	2024-04-01	7701998235	RU0009029524	Surgut-pref	2-01-00155-A	66.805	SUR	2	2	2024-04-03
SOFL	TQBR	iСофтлайн	165.46	10	0.001499992500037	A	Т+: Акции и ДР - безадрес.	2	Софтлайн ао	None	FNDT	EQIN	None	0.02	165.26	SUR	2024-04-01	280000000	RU000A0ZZBC2	Softline	1-01-45848-H	164.34	SUR	1	2	2024-04-03
SPBE	TQBR	СПБ Биржа	90.4	1	3.75	A	Т+: Акции и ДР - безадрес.	1	СПБ Биржа ао	None	FNDT	EQIN	None	0.1	90.0	SUR	2024-04-01	132843907	RU000A0JQ9P9	SPB Exchange	1-01-55439-E	90.1	SUR	1	3	2024-04-03
STSB	TQBR	СтаврЭнСб	3.265	1000	0.0048	A	Т+: Акции и ДР - безадрес.	3	Ставрополэнергосбыт ПАО ао	None	FNDT	EQIN	None	0.005	3.3	SUR	2024-04-01	859074636	RU000A0ET1W4	StavropolEnergoSbyt	1-01-50119-A	3.265	SUR	1	3	2024-04-03
STSBP	TQBR	СтаврЭнСбп	2.84	1000	0.0048	A	Т+: Акции и ДР - безадрес.	3	Ставрополэнергосбыт ПАО ап	None	FNDT	EQIN	None	0.002	2.864	SUR	2024-04-01	262100364	RU000A0ET1Z7	StavropolEnergoSbyt (pref)	2-01-50119-A	2.84	SUR	2	3	2024-04-03
SVAV	TQBR	СОЛЛЕРС	880.0	1	12.5	A	Т+: Акции и ДР - безадрес.	1	"ПАО ""СОЛЛЕРС"""	None	FNDT	EQIN	None	0.5	865.0	SUR	2024-04-01	31486001	RU0006914488	Sollers Avto	1-01-02461-D	854.0	SUR	1	2	2024-04-03
SVCB	TQBR	Совкомбанк	19.905	100	0.1	A	Т+: Акции и ДР - безадрес.	3	Совкомбанк ао	None	FNDT	EQIN	None	0.005	19.72	SUR	2024-04-01	20693945875	RU000A0ZZAC4	Sovcombank	10100963B	19.74	SUR	1	1	2024-04-03
SVET	TQBR	Светофор	28.4	1	1.0	A	Т+: Акции и ДР - безадрес.	2	Светофор Групп ао	None	FNDT	EQIN	None	0.05	28.1	SUR	2024-04-01	22333500	RU000A100592	Svetofor Group	1-01-24350-J	28.4	SUR	1	3	2024-04-03
